NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3644284;36;30;1;1;1;2;0.4336872;;2
3644314;61;59;3;5;1;2;0.9536271;3500;2
3644324;75;74;2;4;1;2;0.673573;2500;3
3644344;37;;2;4;1;4;0.411218;;1
3644364;45;46;1;1;1;7;0.0016497;;0
3644374;88;;3;2;1;1;0.0726849;2688;0
3644384;28;29;1;3;1;2;0.8847039;1300;1
3644404;35;38;3;4;1;7;0.0481808;;2
3644414;83;;1;3;1;1;0.537462;4000;1
3644434;75;;1;1;1;2;0.1395202;1000;2
3644474;58;;1;3;1;1;0.3279447;1250;1
3644494;50;;1;1;1;2;0.2124842;;1
3644534;58;52;3;4;1;4;0.9566119;2600;3
3644544;39;;1;3;1;1;0.4220923;;3
3644554;63;;1;1;1;1;0.1596415;;0
3644574;33;;1;3;1;3;0.1518227;;1
3644594;71;;2;2;2;1;0.1213612;745;1
3644604;22;;1;1;1;1;0.5549879;;1
3644614;73;;1;1;1;1;0.2473224;;0
3644654;69;;3;5;1;2;0.7711231;2500;3
3644674;46;40;3;4;1;3;0.0379979;2200;2
3644724;57;45;3;5;1;5;0.7786117;1300;5
3644734;53;;2;4;1;1;0.5100168;1200;3
3644754;46;;2;3;1;4;0.1899697;300;2
3644794;52;53;2;4;1;2;0.8352151;1200;2
3644814;48;47;2;3;1;6;0.130931;2000;1
3644884;69;;1;3;1;2;0.0594531;1200;1
3644904;45;;1;3;1;3;0.7486028;1200;1
3644924;59;;1;1;1;1;0.3251655;;0
3644964;50;40;2;3;1;2;0.3631654;1892;0
3644994;62;;1;1;1;1;0.2042072;;2
3645034;30;32;1;2;1;5;0.4792655;;1
3645064;77;83;1;3;1;2;0.0035085;500;1
3645094;88;;1;3;1;1;0.5234853;1000;2
3645114;48;;1;3;1;2;0.9171769;2000;2
3645154;48;;2;3;1;2;0.7186779;1200;2
3645164;29;;2;3;1;4;0.733044;750;5
3645174;79;;1;2;1;1;0.2689155;;0
3645194;38;35;2;3;1;3;0.437023;;2
3645204;49;;1;2;1;2;0.537002;;0
3645234;70;71;2;3;1;2;0.7624874;1400;2
3645244;71;70;1;3;1;2;0.3978084;;3
3645254;46;47;2;4;1;4;0.9991261;1800;2
3645264;66;74;2;3;1;2;0.7128002;2000;2
3645284;34;;2;4;2;5;0.6810147;800;7
3645404;42;;2;3;1;1;0.0281944;1700;2
3645414;33;34;2;5;1;4;0.5067476;700;3
3645424;71;73;2;3;1;2;0.5232121;2500;0
3645444;60;60;3;3;1;2;0.9605643;2000;4
3645454;55;61;1;3;1;2;0.6881728;1349;2
3645464;26;;1;1;1;1;0.0725412;;1
3645484;56;;1;4;1;3;0.5669418;500;2
3645574;88;83;2;4;1;2;0.448377;3000;1
3645594;24;;1;1;1;1;0.3772397;;0
